Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,9,20,6,603,606,918,915,UA,1472,N438UA,135,129,107,3,-3,ONT,DEN,819,9,19,0,,0,NA,NA,NA,NA,NA
2008,12,1,1,1353,1400,1449,1507,US,2130,N721UW,56,67,36,-18,-7,LGA,BOS,185,3,17,0,,0,NA,NA,NA,NA,NA
2008,8,18,1,632,632,752,754,OO,5498,N291SW,80,82,67,-2,0,ACV,SFO,250,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,2303,2310,131,158,AS,129,N756AS,208,228,190,-27,-7,SEA,ANC,1449,3,15,0,,0,NA,NA,NA,NA,NA
2008,2,14,4,1703,1705,2021,2019,US,678,N839AW,318,314,303,2,-2,BWI,PHX,1999,5,10,0,,0,NA,NA,NA,NA,NA
2008,7,20,7,1525,1525,1610,1613,YV,2824,N922FJ,45,48,26,-3,0,PHX,TUS,110,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,29,2,942,930,1155,1200,WN,717,N283WN,193,210,182,-5,12,MDW,SLC,1258,5,6,0,,0,NA,NA,NA,NA,NA
2008,4,29,2,806,800,901,850,MQ,4077,N816AE,55,50,28,11,6,MSN,ORD,109,18,9,0,,0,NA,NA,NA,NA,NA
2008,7,26,6,2157,2015,135,2355,AA,1320,N3APAA,158,160,138,100,102,DFW,FLL,1119,4,16,0,,0,100,0,0,0,0
2008,11,7,5,2101,2055,2120,2117,FL,530,N938AT,79,82,56,3,6,ATL,MEM,332,3,20,0,,0,NA,NA,NA,NA,NA
2008,10,9,4,1652,1330,1919,1605,WN,41,N430WN,87,95,73,194,202,ELP,DAL,562,5,9,0,,0,188,0,0,0,6
2008,7,17,4,1456,1455,1620,1619,OO,3622,N584SW,84,84,66,1,1,SLC,SGU,269,5,13,0,,0,NA,NA,NA,NA,NA
2008,5,9,5,1918,1917,2008,2009,OO,5580,N226SW,50,52,35,-1,1,LAX,SAN,109,5,10,0,,0,NA,NA,NA,NA,NA
2008,11,19,3,1655,1336,1730,1424,F9,826,N947FR,95,108,78,186,199,MCI,DEN,533,5,12,0,,0,186,0,0,0,0
2008,10,7,2,733,740,1544,1555,CO,186,N25705,311,315,296,-11,-7,SNA,EWR,2433,7,8,0,,0,NA,NA,NA,NA,NA
2008,10,29,3,1510,1515,1619,1630,WN,1018,N732SW,69,75,54,-11,-5,SJC,LAX,308,7,8,0,,0,NA,NA,NA,NA,NA
2008,11,19,3,1432,1436,1523,1526,OO,5575,N236SW,51,50,31,-3,-4,PSP,LAX,110,5,15,0,,0,NA,NA,NA,NA,NA
2008,11,10,1,926,930,1037,1053,US,2026,N742PS,71,83,58,-16,-4,DCA,BOS,399,6,7,0,,0,NA,NA,NA,NA,NA
2008,5,25,7,1552,1550,2108,2110,CO,1753,N37413,256,260,233,-2,2,IAH,SJU,2007,6,17,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1824,1835,1925,1937,OO,5712,N216SW,61,62,39,-12,-11,LAS,PSP,173,3,19,0,,0,NA,NA,NA,NA,NA
2008,7,3,4,1832,1700,1939,1810,MQ,3759,N520DC,67,70,49,89,92,DFW,LIT,304,5,13,0,,0,84,0,0,0,5
2008,10,10,5,842,834,1601,1558,NW,210,N528US,259,264,232,3,8,SEA,DTW,1927,9,18,0,,0,NA,NA,NA,NA,NA
2008,11,11,2,1144,1145,1306,1302,XE,2536,N16927,82,77,60,4,-1,MFE,IAH,316,6,16,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1744,1750,2002,1943,CO,249,N19130,198,173,153,19,-6,FLL,IAH,965,8,37,0,,0,0,0,19,0,0
2008,10,31,5,955,1000,1250,1256,9E,2922,84129E,115,116,86,-6,-5,HSV,DTW,554,8,21,0,,0,NA,NA,NA,NA,NA
2008,4,14,1,1225,1235,1407,1403,EV,4160,N860AS,102,88,68,4,-10,ATL,SRQ,445,6,28,0,,0,NA,NA,NA,NA,NA
2008,10,19,7,1801,1735,1925,1914,CO,1197,N14645,84,99,54,11,26,BOS,EWR,200,11,19,0,,0,NA,NA,NA,NA,NA
2008,6,23,1,949,944,1135,1130,XE,3087,N15948,106,106,78,5,5,BHM,IAH,562,10,18,0,,0,NA,NA,NA,NA,NA
2008,11,23,7,1420,1423,1611,1617,OO,6018,N945SW,111,114,89,-6,-3,ICT,ORD,588,8,14,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1849,1845,2038,2045,XE,622,N18557,169,180,155,-7,4,JAX,MCI,956,6,8,0,,0,NA,NA,NA,NA,NA
2008,6,1,7,1409,1410,1613,1615,WN,12,N434WN,64,65,50,-2,-1,MDW,SDF,271,4,10,0,,0,NA,NA,NA,NA,NA
2008,11,30,7,804,811,920,932,OO,6134,N954SW,76,81,58,-12,-7,SFO,ONT,363,3,15,0,,0,NA,NA,NA,NA,NA
